rank,signal_ids,headline,entity,region,signal_window,status_today,evidence_type,evidence_reference,why_pre_channel,outreach_angle,channel_check_result,legitimacy_1_5,customer_verdict,customer_why
1,S02;S11,Gustafson's shut ops Feb 2026 weeks before orderly liquidation announced,Gustafson's Furniture & Mattress,Rockford IL,Feb–May 2026,Channel now assigned (PFP sale May 14+),News,WREX / Home News Now Feb–May 2026 coverage,Abrupt halt + customer order backlog before PFP/GOB formalized—classic trapped-in-building period,Would have called owner/landlord in Feb–Mar before PFP engagement,PFP named May 2026; gustafsonsfurnituresale.com,5,,,
2,S02,Circle Furniture locked doors Dec 2025 Ch7 filed Jan 2026,Circle Furniture Holdings,MA / NH,Dec 2025 – Jan 2026,Channel assigned (Saperstein auctions Mar–Apr 2026),News,Boston Globe Feb 2026; WCVB auction coverage,~6 weeks stores dark inventory in showrooms/DC before court auction path,Contact owner/counsel in January before Saperstein catalog live,Saperstein + BidSpotter auctions announced,5,,,
3,S01;S10,Value City filed Ch11 Nov 2025 GOB firm named Jan 2026,American Signature Inc / Value City,nationwide,Nov 2025 – Jan 2026,Closed; channel long assigned,News,PR Newswire Jan 9 2026 Hilco SB360 Gordon Brothers,Window between Nov filing and Jan GOB operator approval—DC inventory in flux,Enterprise TL offer to debtor counsel pre-SB360 JV (long shot),Hilco/Gordon/SB360 operating GOB,5,,,
4,S01,Tok&Stok judicial recovery May 2026 store closings 50–70% off before full disposition map,Tok&Stok (Grupo Toky),Brazil (intl example),May 2026,Recovery filing; liquidation sales starting,News,Exame May 21 2026 judicial recovery R$1.1B debt,Large physical retailer clearing stores under court protection—may lack US-style B-Stock channel initially,US exporter / partner with local buyer—only if customer does intl,Not US; illustrates signal not US inventory,4,,,
5,S10;S15,Macy's strategic closures 2026—post-clearance DC phase less visible than stores,Macy's Inc,US multi-region,2026 ongoing,Channel partially assigned (controlled liquidation),Industry analysis,LiquidateProducts blog DC inventory post-clearance concept,Article notes DC inventory exits **after** store floor—buyers who know DCs win,Monitor DC cities; RE broker intro; not Macy's B-Stock portal,Brand-restricted resale; managed process,4,,,
6,S11,Independent 67-year store building sold forced empty—dealer-friendly language,Kelsey Furniture,Tuscola IL,Mar 2026,Likely picked over; was short window,News,Furniture Today Mar 4 2026; kelseyfurniture.com GOB notice,Explicitly sold to public **and dealers** while emptying building—not national liquidator,Would visit in first week of March TL offer,Wahlquist promotions (promo firm not PFP)—still pre-national-broker,5,,,
7,S05,3PL scenario: aged retail-ready furniture in bonded warehouse (pattern),Generic 3PL + retailer client,Any,Continuous,Template—not a specific lead,Industry pattern,Overstock Trader 3PL seller FAQ describes stuck client goods,Owner is retailer; 3PL wants space fees paid—introducer can buy TL if retailer agrees,Call 3PL ops manager: any clients with 12+ mo aged home goods?,N/A—pattern row,4,,,
8,S06,Template: regional Shopify furniture brand hiring first Returns Lead,ExampleCo (template),Customer region TBD,When job posted 0–60 days,Template,Job board pattern,Indeed query S03,No ReturnPro in job description; single DC address,LinkedIn message to new hire: wholesale outlet for B stock,Verify employer not staffing agency for goTRG,3,,,
9,S09,Template: Ch11 filed <21 days no stalking horse on docket,Unknown debtor (template),US,Days 1–21 post-petition,Template,PACER pattern,BankruptcyObserver monitor,Inventory on schedules; no 363 motion yet,Email debtor counsel: certified TL buyer for home goods assets,Search docket for Hilco B-Stock motions,4,,,
10,S08,Template: furniture DC sublease must vacate inventory negotiable,Unknown tenant (template),Metro with furniture DCs,Lease listing 30–90 days,Template,LoopNet / broker,Commercial RE alerts S08,Landlord wants space; tenant may pay to avoid move cost,Broker: is inventory part of deal? cash TL?,Confirm not already with auctioneer,3,,,
11,S14,PLACEHOLDER—Customer fills from memory,Customer's best deal #1,_,_,_,Customer interview,Meeting notes,Defines what Band It should optimize—highest value row,Ask Joe: source timing $ who he called,_,5,,,
12,S14,PLACEHOLDER—Customer fills from memory,Customer's best deal #2,_,_,_,Customer interview,Meeting notes,Second training exemplar,Same,_,5,,,
13,S15,Negative example: Wayfair truckload on B-Stock,Wayfair,US,Any,Exclude—not pre-channel,Marketplace,bstock.com/wayfair,Official resale channel exists,Do not outreach—use only as price benchmark,Channel assigned,5,,,
14,S15,Negative example: Walmart Liquidation Auctions,Walmart,US,Any,Exclude—not pre-channel,Marketplace,liquidations.walmart.com,Dot-com returns already routed to B-Stock,Do not outreach,Channel assigned,5,,,
15,S15,Negative example: ReturnPro / Direct Liquidation,ReturnPro,US,Any,Exclude—they ARE the channel,3PL marketplace,directliquidation.com,Opposite of hidden gem,Do not list as opportunity,Channel assigned,5,,,
