rank,agency_name,website,city,state,employee_estimate,agency_score,why_flagged,signals_fired,exclude_flags,evidence_links,verify_status,verification_hints,source_notes
1,Brandefined,https://brandefined.com,Rockville,MD,7,80,Flagged: H01 (new business); H02 (legal|small business|smb); H03 (content on site),H01:new business|H02:legal|small business|smb|H03:content on site|H06:new clients/hiring,,https://brandefined.com|https://brandefined.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,Rockville boutique
2,LUD Marketing LLC,https://ludmarketingllc.com,Baltimore,MD,10,77,Flagged: H01 (client acquisition); H02 (home services|legal|nonprofit|small business); H03 (content on site),H01:client acquisition|H02:home services|legal|nonprofit|small business|H03:content on site|H07:ghl/white-label,,https://ludmarketingllc.com|https://ludmarketingllc.com/careers,pending,Confirm employee count and SMB portfolio before call; Verify BD job still open on careers page; Strong Cat Bot prospect — prepare sample mouse for their vertical,GHL on site; DMV since 2019
3,Social Driver,https://socialdriver.com,Washington,DC,15,70,Flagged: H02 (smb); H03 (content on site); H04 (directory),H02:smb|H03:content on site|H04:directory|H06:new clients/hiring,,https://socialdriver.com|https://clutch.co/profile/social-driver,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,DC digital agency; verify SMB vs assoc focus
4,Harpoon Marketing,https://harpoonmarketing.com,Maryland,MD,10,67,Flagged: H02 (retail|smb); H03 (content on site); H04 (directory),H02:retail|smb|H03:content on site|H04:directory|H07:ghl/white-label,,https://harpoonmarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD provider
5,Work Smarter Digital,https://worksmarterdigital.com,Arlington,VA,6,67,Flagged: H02 (contractor|home services|legal|med spa|small business|smb); H03 (content on site); H04 (directory),H02:contractor|home services|legal|med spa|small business|smb|H03:content on site|H04:directory|H07:ghl/white-label,,https://worksmarterdigital.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Gold-path GHL white-label; also Big Band prospect
6,Revv Partners,https://www.revvpartners.com,North Bethesda,MD,8,62,Flagged: H02 (home services|small business|smb); H03 (content on site); H04 (directory),H02:home services|small business|smb|H03:content on site|H04:directory,,https://www.revvpartners.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD SMB explicit; seed from reseller verify
7,Donnelly Marketing Group,https://donnellymarketing.com,Maryland,MD,5,62,Flagged: H02 (small business|smb); H03 (content on site); H04 (directory),H02:small business|smb|H03:content on site|H04:directory,,https://donnellymarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,HubSpot MD fractional SMB
8,Mambo Media,https://mambomedia.com,Washington,DC,8,60,Flagged: H02 (nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://mambomedia.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Boutique DC digital
9,The Cyphers Agency,https://thecyphersagency.com,Tysons,VA,12,60,Flagged: H02 (restaurant); H03 (content on site); H06 (new clients/hiring),H02:restaurant|H03:content on site|H06:new clients/hiring,,https://thecyphersagency.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Tysons full-service
10,Eberly & Collard Public Relations,https://eberlycollard.com,Falls Church,VA,8,60,Flagged: H02 (smb); H03 (content on site); H06 (new clients/hiring),H02:smb|H03:content on site|H06:new clients/hiring,,https://eberlycollard.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,PR+digital hybrid
11,PBJ Marketing,https://pbjmarketing.com,Washington,DC,12,60,Flagged: H02 (dental|home services|legal|nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:dental|home services|legal|nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://pbjmarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Vertical SMB pages
12,Digital Firefly Marketing,https://digitalfireflymarketing.com,Gaithersburg,MD,6,60,Flagged: H02 (nonprofit|smb); H03 (content on site); H06 (new clients/hiring),H02:nonprofit|smb|H03:content on site|H06:new clients/hiring,,https://digitalfireflymarketing.com,pending,Confirm employee count and SMB portfolio before call; Strong Cat Bot prospect — prepare sample mouse for their vertical,Gaithersburg
13,Services America,https://servicesamerica.com,DMV,VA,12,52,Flagged: H02 (home services|hvac|plumb); H03 (content on site),H02:home services|hvac|plumb|H03:content on site,,https://servicesamerica.com,pending,Confirm employee count and SMB portfolio before call,DMV home-services marketing systems
14,ElectricSage,https://electricsage.com,Leonardtown,MD,5,50,Flagged: H02 (smb); H04 (directory),H02:smb|H04:directory,,https://electricsage.com,pending,Confirm employee count and SMB portfolio before call,HubSpot Platinum SOMD SMB
15,Juice Box Ops,https://juiceboxops.com,Maryland,MD,10,50,Flagged: H02 (smb); H04 (directory),H02:smb|H04:directory,,https://juiceboxops.com,pending,Confirm employee count and SMB portfolio before call,HubSpot Gold MD
